Data da Venda,Mês,Região,Vendedor,Código Vendedor,Vendas
2018-05-02,MAI,Norte,Ronaldo,8,5697.8
2018-05-12,MAI,Sul,Ricardo,2,4278.66
2018-03-23,MAR,Sudeste,Renata,5,7052.13
2018-01-04,JAN,Sudeste,Roberto,1,4471.23
2018-05-04,MAI,Sudeste,Ricardo,2,4261.32
2018-03-26,MAR,Sul,Ronaldo,8,3756.01
2018-05-27,MAI,Sul,Roberta,4,5569.42
2018-02-08,FEV,Sudeste,Roberto,1,5560.52
2018-05-14,MAI,Nordeste,Renata,5,5931.33
2018-05-10,MAI,Sudeste,Ronaldo,8,1256.52
2018-01-19,JAN,Nordeste,Rodrigo,3,6717.24
2018-02-12,FEV,Sul,Renata,5,4782.35
2018-05-31,MAI,Nordeste,Renata,5,2596.14
2018-05-11,MAI,Norte,Renata,5,2817.7
2018-02-05,FEV,Norte,Roberto,1,1826.13
2018-05-07,MAI,Sul,Renata,5,9283.5
2018-01-25,JAN,Sul,Ronaldo,8,4509.42
2018-04-24,ABR,Sul,Raquel,7,2716.61
2018-02-12,FEV,Sul,Rafael,6,1848.22
2018-01-20,JAN,Nordeste,Renata,5,1792.16
2018-02-03,FEV,Sul,Renata,5,3333.07
2018-05-25,MAI,Sul,Rodrigo,3,19228.1
2018-03-13,MAR,Sudeste,Roberta,4,2017.53
2018-02-14,FEV,Sul,Ronaldo,8,4326.25
2018-01-13,JAN,Sul,Roberta,4,5328.68
2018-04-03,ABR,Sudeste,Roberta,4,12929.79
2018-03-24,MAR,Sudeste,Roberto,1,3834.34
2018-03-11,MAR,Sul,Ronaldo,8,10367.77
2018-05-11,MAI,Norte,Roberto,1,2878.08
2018-01-06,JAN,Nordeste,Roberta,4,5461.45
2018-04-18,ABR,Nordeste,Ricardo,2,9572.37
2018-01-24,JAN,Sul,Roberto,1,5919.42
2018-05-14,MAI,Norte,Roberto,1,3893.28
2018-04-23,ABR,Nordeste,Rodrigo,3,2937.14
2018-02-14,FEV,Sudeste,Ricardo,2,6112.33
2018-01-22,JAN,Sudeste,Roberto,1,7093.23
2018-02-05,FEV,Sul,Renata,5,2081.74
2018-05-26,MAI,Sul,Ronaldo,8,5967.02
2018-02-09,FEV,Nordeste,Renata,5,2937.26
2018-05-20,MAI,Nordeste,Roberto,1,2546.7
2018-01-09,JAN,Nordeste,Raquel,7,4447.4
2018-03-20,MAR,Sul,Ronaldo,8,12929.98
2018-03-17,MAR,Sul,Ronaldo,8,5166.67
2018-03-11,MAR,Nordeste,Roberto,1,4466.8
2018-01-03,JAN,Sudeste,Rafael,6,10729.72
2018-05-26,MAI,Norte,Renata,5,12890.84
2018-01-12,JAN,Sul,Roberta,4,15812.56
2018-04-01,ABR,Sudeste,Ricardo,2,3771.76
2018-02-07,FEV,Nordeste,Rodrigo,3,9156.7
2018-05-30,MAI,Sul,Ronaldo,8,14871.42
2018-01-12,JAN,Nordeste,Ricardo,2,6566.21
2018-05-24,MAI,Norte,Roberta,4,16741.03
2018-02-22,FEV,Nordeste,Ricardo,2,7060.66
2018-05-13,MAI,Nordeste,Rafael,6,19228.1
2018-03-21,MAR,Nordeste,Ricardo,2,15531.09
2018-05-07,MAI,Nordeste,Rafael,6,19228.1
2018-03-28,MAR,Norte,Roberto,1,7172.24
2018-01-10,JAN,Sul,Rafael,6,5384.62
2018-05-11,MAI,Sudeste,Rodrigo,3,5973.28
2018-02-07,FEV,Norte,Ricardo,2,19228.1
2018-05-30,MAI,Sudeste,Rodrigo,3,1904.75
2018-04-26,ABR,Sul,Rafael,6,3136.1
2018-03-31,MAR,Nordeste,Rafael,6,3216.35
2018-04-03,ABR,Norte,Ricardo,2,7047.74
2018-03-03,MAR,Sudeste,Roberta,4,2659.71
2018-04-19,ABR,Sul,Roberto,1,19228.1
2018-04-14,ABR,Sul,Roberto,1,4005.57
2018-01-09,JAN,Sul,Raquel,7,17583.98
2018-04-03,ABR,Sul,Rafael,6,5744.14
2018-03-24,MAR,Norte,Raquel,7,8710.79
2018-04-14,ABR,Norte,Renata,5,3382.49
2018-01-18,JAN,Nordeste,Raquel,7,6554.75
2018-04-23,ABR,Sudeste,Ricardo,2,6737.17
2018-04-11,ABR,Nordeste,Ricardo,2,7696.64
2018-03-15,MAR,Nordeste,Ricardo,2,7725.2
2018-02-10,FEV,Nordeste,Ronaldo,8,10993.68
2018-01-15,JAN,Sudeste,Roberta,4,2739.55
2018-02-08,FEV,Nordeste,Roberta,4,12208.5
2018-05-30,MAI,Sudeste,Ronaldo,8,2197.69
2018-05-19,MAI,Norte,Roberto,1,5280.34
2018-04-11,ABR,Sudeste,Rafael,6,8123.38
2018-05-05,MAI,Norte,Raquel,7,19228.1
2018-03-17,MAR,Nordeste,Raquel,7,8456.12
2018-05-02,MAI,Nordeste,Roberto,1,5511.38
2018-04-12,ABR,Sudeste,Renata,5,13294.23
2018-03-04,MAR,Norte,Roberta,4,4795.13
2018-05-27,MAI,Nordeste,Roberto,1,16279.79
2018-03-31,MAR,Nordeste,Rafael,6,4996.67
2018-04-13,ABR,Sul,Roberto,1,6041.26
2018-01-10,JAN,Nordeste,Rodrigo,3,5104.71
2018-03-02,MAR,Norte,Ronaldo,8,19228.1
2018-04-02,ABR,Sudeste,Rafael,6,8224.29
2018-05-30,MAI,Norte,Raquel,7,2705.08
2018-04-28,ABR,Norte,Rodrigo,3,4798.23
2018-02-09,FEV,Norte,Rodrigo,3,1652.81
2018-05-05,MAI,Norte,Renata,5,10491.03
2018-03-01,MAR,Sul,Roberto,1,6804.73
2018-05-09,MAI,Sul,Raquel,7,11224.44
2018-04-18,ABR,Sul,Ronaldo,8,4411.0
2018-04-02,ABR,Nordeste,Roberta,4,6013.19
2018-02-17,FEV,Sul,Rodrigo,3,4372.52
2018-02-25,FEV,Sudeste,Raquel,7,16682.59
2018-03-23,MAR,Norte,Roberto,1,5338.18
2018-02-24,FEV,Sudeste,Raquel,7,2966.27
2018-04-10,ABR,Norte,Raquel,7,5805.78
2018-02-23,FEV,Sudeste,Roberto,1,5781.25
2018-04-17,ABR,Nordeste,Renata,5,8672.4
2018-05-31,MAI,Sul,Ricardo,2,9759.48
2018-03-16,MAR,Norte,Rodrigo,3,2775.78
2018-03-22,MAR,Sul,Roberta,4,3211.89
2018-01-26,JAN,Sul,Renata,5,4758.3
2018-02-06,FEV,Sul,Roberta,4,3161.08
2018-01-24,JAN,Sul,Rodrigo,3,5322.69
2018-04-22,ABR,Sudeste,Rodrigo,3,16003.74
2018-03-14,MAR,Norte,Rodrigo,3,1543.71
2018-04-21,ABR,Sul,Roberto,1,12967.99
2018-05-07,MAI,Nordeste,Roberta,4,5811.3
2018-03-29,MAR,Sul,Ronaldo,8,19228.1
2018-02-25,FEV,Norte,Ricardo,2,5740.37
2018-03-20,MAR,Sudeste,Rafael,6,4093.73
2018-04-28,ABR,Norte,Ricardo,2,4070.47
2018-02-06,FEV,Sul,Ronaldo,8,5480.84
2018-03-23,MAR,Nordeste,Roberta,4,6266.22
2018-01-05,JAN,Nordeste,Ronaldo,8,3025.91
2018-04-25,ABR,Sul,Rodrigo,3,1784.52
2018-01-08,JAN,Nordeste,Ronaldo,8,9046.09
2018-05-07,MAI,Sul,Ricardo,2,3815.12
2018-05-03,MAI,Sudeste,Roberta,4,2411.63
2018-01-20,JAN,Sul,Rodrigo,3,10514.88
2018-01-22,JAN,Norte,Renata,5,1051.06
2018-03-08,MAR,Nordeste,Roberta,4,10756.41
2018-01-03,JAN,Sudeste,Renata,5,19228.1
2018-02-12,FEV,Norte,Renata,5,6942.6
2018-03-24,MAR,Norte,Rodrigo,3,9137.13
2018-03-14,MAR,Sul,Renata,5,2112.75
2018-04-19,ABR,Sul,Rafael,6,3413.69
2018-01-08,JAN,Nordeste,Rafael,6,9065.75
2018-01-20,JAN,Sudeste,Renata,5,1531.1
2018-05-19,MAI,Nordeste,Roberta,4,10947.62
2018-03-21,MAR,Sul,Ricardo,2,4686.3
2018-01-08,JAN,Norte,Roberta,4,3115.94
2018-05-29,MAI,Nordeste,Renata,5,6257.37
2018-05-14,MAI,Nordeste,Roberto,1,3558.28
2018-01-27,JAN,Sul,Roberto,1,4330.67
2018-02-18,FEV,Sul,Raquel,7,7439.56
2018-03-19,MAR,Nordeste,Ricardo,2,5692.02
2018-02-11,FEV,Sul,Renata,5,4077.18
2018-05-07,MAI,Norte,Rodrigo,3,3985.17
2018-01-10,JAN,Norte,Ricardo,2,3410.0
2018-04-18,ABR,Sul,Rafael,6,1895.34
2018-01-24,JAN,Sudeste,Rodrigo,3,8808.09
2018-02-20,FEV,Sudeste,Renata,5,10882.62
2018-05-14,MAI,Sul,Roberta,4,8072.45
2018-02-23,FEV,Sul,Rafael,6,2742.11
2018-01-28,JAN,Norte,Roberta,4,5982.83
2018-01-27,JAN,Sul,Rafael,6,3142.28
2018-01-08,JAN,Sul,Ricardo,2,9780.66
2018-05-13,MAI,Sul,Raquel,7,5086.07
2018-05-09,MAI,Nordeste,Renata,5,12293.79
2018-05-29,MAI,Sul,Raquel,7,19228.1
2018-01-31,JAN,Nordeste,Roberto,1,15021.18
2018-03-27,MAR,Nordeste,Raquel,7,13758.84
2018-01-18,JAN,Norte,Ronaldo,8,11039.25
2018-05-12,MAI,Sul,Roberta,4,14223.42
2018-04-22,ABR,Norte,Raquel,7,4128.86
2018-01-05,JAN,Nordeste,Rafael,6,4916.68
2018-02-07,FEV,Sul,Rafael,6,11018.92
2018-01-10,JAN,Sul,Ronaldo,8,5303.65
2018-05-23,MAI,Nordeste,Roberta,4,3966.5
2018-01-07,JAN,Sudeste,Renata,5,4762.81
2018-02-19,FEV,Sudeste,Rodrigo,3,6391.46
2018-01-11,JAN,Sudeste,Rodrigo,3,3584.92
2018-03-16,MAR,Sul,Raquel,7,4193.74
2018-01-24,JAN,Sudeste,Raquel,7,19228.1
2018-02-17,FEV,Nordeste,Ronaldo,8,7168.96
2018-01-09,JAN,Sudeste,Rafael,6,6206.73
2018-01-08,JAN,Sudeste,Ricardo,2,12300.13
2018-01-11,JAN,Sudeste,Ronaldo,8,17516.97
2018-02-06,FEV,Nordeste,Ricardo,2,12100.7
2018-04-26,ABR,Nordeste,Ronaldo,8,9960.96
2018-04-05,ABR,Sul,Ricardo,2,3548.54
2018-05-12,MAI,Sudeste,Roberta,4,4257.52
2018-02-12,FEV,Nordeste,Renata,5,5304.15
2018-02-26,FEV,Sudeste,Raquel,7,1707.9
2018-05-21,MAI,Norte,Roberto,1,13189.09
2018-02-12,FEV,Sul,Renata,5,19228.1
2018-02-28,FEV,Nordeste,Rafael,6,19228.1
2018-01-03,JAN,Norte,Raquel,7,10251.1
2018-02-08,FEV,Sudeste,Raquel,7,1254.63
2018-02-23,FEV,Norte,Renata,5,6285.76
2018-03-18,MAR,Nordeste,Renata,5,8891.42
2018-04-05,ABR,Nordeste,Roberta,4,5218.61
2018-01-22,JAN,Norte,Raquel,7,4884.69
2018-01-30,JAN,Nordeste,Ricardo,2,5536.66
2018-02-14,FEV,Norte,Raquel,7,934.36
2018-03-11,MAR,Sudeste,Rodrigo,3,3389.96
2018-04-03,ABR,Nordeste,Raquel,7,6759.28
2018-04-21,ABR,Sul,Roberta,4,6959.5
2018-04-22,ABR,Sudeste,Renata,5,7281.03
2018-05-10,MAI,Sudeste,Roberto,1,19228.1
2018-05-22,MAI,Sul,Rafael,6,4287.29
2018-01-14,JAN,Sudeste,Ronaldo,8,2474.82
2018-01-27,JAN,Norte,Renata,5,14466.15
2018-02-11,FEV,Sudeste,Ricardo,2,1845.41
2018-02-22,FEV,Sudeste,Roberto,1,3715.38
2018-03-16,MAR,Norte,Roberto,1,11601.63
2018-02-04,FEV,Norte,Rodrigo,3,9506.92
2018-02-10,FEV,Sul,Ronaldo,8,7412.66
2018-04-11,ABR,Nordeste,Rodrigo,3,11561.44
2018-04-05,ABR,Norte,Ronaldo,8,4101.23
2018-04-28,ABR,Norte,Roberta,4,1372.93
2018-01-28,JAN,Sul,Ricardo,2,6857.5
2018-01-24,JAN,Nordeste,Rafael,6,19228.1
2018-03-05,MAR,Sudeste,Renata,5,1527.19
2018-05-04,MAI,Norte,Renata,5,2088.32
2018-01-19,JAN,Norte,Ricardo,2,6636.85
2018-03-06,MAR,Nordeste,Roberto,1,6383.57
2018-03-11,MAR,Sudeste,Roberto,1,12001.64
2018-01-21,JAN,Sudeste,Rafael,6,9060.95
2018-02-04,FEV,Norte,Raquel,7,10411.27
2018-05-27,MAI,Sul,Roberta,4,3960.74
2018-04-16,ABR,Sudeste,Ronaldo,8,7824.25
2018-05-24,MAI,Sudeste,Raquel,7,8305.12
2018-01-22,JAN,Nordeste,Rodrigo,3,4238.76
2018-04-13,ABR,Sul,Rodrigo,3,10738.74
2018-04-25,ABR,Sul,Roberta,4,2052.7
2018-01-26,JAN,Nordeste,Ricardo,2,4878.88
2018-03-15,MAR,Nordeste,Renata,5,5265.59
2018-05-13,MAI,Sudeste,Ricardo,2,16323.69
2018-04-27,ABR,Nordeste,Rafael,6,3061.53
2018-05-08,MAI,Sul,Ronaldo,8,4226.45
2018-05-06,MAI,Norte,Raquel,7,19228.1
2018-04-15,ABR,Sudeste,Renata,5,5162.64
2018-05-09,MAI,Sul,Ricardo,2,6094.37
2018-01-06,JAN,Norte,Ricardo,2,11243.22
2018-03-11,MAR,Sudeste,Renata,5,1113.76
2018-05-29,MAI,Norte,Ronaldo,8,4071.62
2018-01-21,JAN,Sul,Ronaldo,8,6618.38
2018-03-12,MAR,Sul,Roberto,1,1420.71
2018-01-28,JAN,Sudeste,Renata,5,1051.59
2018-02-03,FEV,Nordeste,Ronaldo,8,14241.08
2018-05-05,MAI,Norte,Ricardo,2,2846.56
2018-04-17,ABR,Sudeste,Roberta,4,10307.87
2018-02-14,FEV,Nordeste,Roberta,4,4510.58
2018-04-30,ABR,Sudeste,Roberto,1,2934.26
2018-03-24,MAR,Sul,Roberto,1,7652.21
2018-04-23,ABR,Sudeste,Renata,5,4365.77
2018-05-20,MAI,Sudeste,Roberto,1,1590.63
2018-03-31,MAR,Norte,Rafael,6,6305.36
2018-04-13,ABR,Nordeste,Roberta,4,5321.04
2018-04-12,ABR,Norte,Rodrigo,3,19228.1
2018-05-03,MAI,Sudeste,Raquel,7,14607.66
2018-02-24,FEV,Sudeste,Rafael,6,2757.93
2018-02-11,FEV,Sudeste,Rodrigo,3,2455.9
2018-02-26,FEV,Sudeste,Roberto,1,3140.94
2018-05-06,MAI,Sudeste,Roberta,4,2146.93
2018-01-30,JAN,Norte,Raquel,7,3018.28
2018-05-01,MAI,Sul,Rafael,6,1580.15
2018-03-10,MAR,Nordeste,Raquel,7,8929.91
2018-03-03,MAR,Norte,Ricardo,2,7356.89
2018-02-18,FEV,Nordeste,Roberto,1,14867.61
2018-04-15,ABR,Sul,Ronaldo,8,7004.64
2018-01-04,JAN,Nordeste,Rafael,6,13528.28
2018-01-25,JAN,Nordeste,Renata,5,2351.22
2018-05-19,MAI,Norte,Ronaldo,8,8139.26
2018-03-30,MAR,Sudeste,Ricardo,2,5026.1
2018-04-15,ABR,Sul,Roberta,4,17337.26
2018-01-04,JAN,Norte,Raquel,7,4149.79
2018-05-08,MAI,Nordeste,Roberto,1,4846.14
2018-03-23,MAR,Norte,Roberta,4,5292.05
2018-02-04,FEV,Sul,Ronaldo,8,13419.71
2018-01-18,JAN,Sudeste,Rodrigo,3,2057.4
2018-05-21,MAI,Sul,Raquel,7,6059.43
2018-04-25,ABR,Sudeste,Rodrigo,3,5941.85
2018-02-05,FEV,Norte,Rodrigo,3,2066.67
2018-05-27,MAI,Norte,Ricardo,2,3059.47
2018-03-13,MAR,Nordeste,Renata,5,2079.08
2018-05-16,MAI,Norte,Raquel,7,2446.38
2018-01-31,JAN,Sudeste,Rafael,6,2882.96
2018-04-12,ABR,Sul,Renata,5,5460.47
2018-05-11,MAI,Sul,Rafael,6,4978.63
2018-02-20,FEV,Sudeste,Ronaldo,8,3974.98
2018-03-08,MAR,Nordeste,Raquel,7,2803.12
2018-04-06,ABR,Norte,Ronaldo,8,3849.44
2018-02-25,FEV,Sul,Ricardo,2,6957.89
2018-02-23,FEV,Sudeste,Ronaldo,8,10643.45
2018-02-21,FEV,Nordeste,Raquel,7,2532.79
2018-03-12,MAR,Nordeste,Rodrigo,3,19228.1
2018-05-12,MAI,Sul,Ricardo,2,2971.63
2018-02-19,FEV,Sudeste,Rafael,6,5319.0
2018-02-24,FEV,Norte,Roberta,4,19228.1
2018-04-25,ABR,Norte,Raquel,7,6361.38
2018-04-18,ABR,Sul,Roberta,4,10283.82
2018-01-06,JAN,Norte,Renata,5,19228.1
2018-01-04,JAN,Sudeste,Roberta,4,19228.1
2018-01-25,JAN,Nordeste,Rafael,6,7576.58
2018-03-14,MAR,Norte,Roberto,1,2039.56
2018-04-30,ABR,Nordeste,Roberto,1,4443.21
2018-02-10,FEV,Norte,Roberta,4,7886.1
2018-02-24,FEV,Norte,Ronaldo,8,3447.67
2018-04-15,ABR,Norte,Ricardo,2,1973.45
2018-05-16,MAI,Nordeste,Roberto,1,10544.41
2018-03-21,MAR,Norte,Renata,5,7497.75
2018-04-01,ABR,Norte,Ronaldo,8,4479.68
2018-05-07,MAI,Norte,Raquel,7,1204.08
2018-03-20,MAR,Nordeste,Ricardo,2,7544.38
2018-04-28,ABR,Nordeste,Roberto,1,2452.65
2018-02-23,FEV,Norte,Rafael,6,19228.1
2018-04-13,ABR,Sudeste,Roberta,4,14347.48
2018-02-17,FEV,Nordeste,Roberto,1,3906.86
2018-03-14,MAR,Sudeste,Ronaldo,8,3003.58
2018-04-10,ABR,Sul,Ricardo,2,4516.99
2018-03-21,MAR,Sudeste,Roberta,4,2650.64
2018-02-10,FEV,Nordeste,Roberto,1,19228.1
2018-05-29,MAI,Sudeste,Raquel,7,10877.84
2018-03-20,MAR,Sudeste,Raquel,7,1397.55
2018-04-11,ABR,Sudeste,Ronaldo,8,7536.12
2018-03-02,MAR,Sudeste,Rodrigo,3,5223.59
2018-04-26,ABR,Sul,Roberta,4,10197.19
2018-05-10,MAI,Sul,Ronaldo,8,2924.87
2018-03-17,MAR,Norte,Roberta,4,4591.13
2018-05-21,MAI,Sudeste,Rodrigo,3,8681.06
2018-02-04,FEV,Norte,Ronaldo,8,11056.26
2018-02-02,FEV,Sudeste,Rafael,6,1920.28
2018-04-15,ABR,Sudeste,Roberta,4,18853.3
2018-04-23,ABR,Norte,Ronaldo,8,7501.56
2018-04-08,ABR,Norte,Ricardo,2,15613.15
